address,country_code,country_name,total_events,counters
182.1.187.105,ID,Indonesia,7,pwngrid/invalid-enroll:7
178.128.114.143,SG,Singapore,3,ssh/user-enumeration:3
68.183.220.47,DE,Germany,3,http/not_a_browser:3
176.67.85.217,US,United States,1,ssh/user-enumeration:1
46.101.149.86,DE,Germany,1,http/php_files_scan:1
2a03:4000:30:ac3f::14:4714,DE,Germany,1,http/php_files_scan:1
2601:647:4900:7410:e44d:33be:1f6:b11d,US,United States,1,http/not_a_browser:1
5.188.210.227,RU,Russia,1,http/php_files_scan:1
