address,country_code,country_name,total_events,counters
193.228.91.11,GB,United Kingdom,5,ssh/user-enumeration:5
62.11.82.45,IT,Italy,2,http/not_a_browser:2
113.186.203.141,VN,Vietnam,1,ssh/user-enumeration:1
