address,country_code,country_name,total_events,counters
83.240.245.242,PT,Portugal,25,ssh/user-enumeration:25
132.247.177.165,MX,Mexico,13,ssh/user-enumeration:13
107.174.243.121,US,United States,11,ssh/user-enumeration:11
193.112.110.35,CN,China,8,http/php_files_scan:8
68.183.177.78,SG,Singapore,6,ssh/user-enumeration:6
167.99.200.122,GB,United Kingdom,6,ssh/user-enumeration:6
61.83.181.17,KR,South Korea,5,ssh/user-enumeration:5
45.155.205.108,DE,Germany,4,http/XDebug:1|http/ThinkPHP RCE:1|http/CVE-2017-9841:2
141.98.80.85,PA,Panama,2,ssh/user-enumeration:2
141.98.80.71,PA,Panama,2,ssh/user-enumeration:2
141.98.80.82,PA,Panama,2,ssh/user-enumeration:2
23.96.250.217,US,United States,2,http/CVE-2017-9841:2
112.6.129.80,CN,China,2,ssh/user-enumeration:2
141.98.80.69,PA,Panama,2,ssh/user-enumeration:2
45.155.205.86,DE,Germany,2,ssh/user-enumeration:2
144.255.31.107,CN,China,2,ssh/user-enumeration:2
141.98.80.83,PA,Panama,1,ssh/user-enumeration:1
45.155.205.87,DE,Germany,1,ssh/user-enumeration:1
193.218.118.214,UA,Ukraine,1,ssh/user-enumeration:1
54.250.87.247,JP,Japan,1,http/php_files_scan:1
141.98.80.177,PA,Panama,1,ssh/user-enumeration:1
209.141.41.134,US,United States,1,http/php_files_scan:1
72.187.191.152,US,United States,1,ssh/user-enumeration:1
141.98.80.70,PA,Panama,1,ssh/user-enumeration:1
221.181.129.95,CN,China,1,ssh/user-enumeration:1
70.37.73.202,US,United States,1,http/not_a_browser:1
