address,country_code,country_name,total_events,counters
159.203.78.201,US,United States,5,ssh/user-enumeration:5
86.75.201.236,FR,France,2,ssh/user-enumeration:2
49.50.250.83,NZ,New Zealand,1,http/php_files_scan:1
