address,country_code,country_name,total_events,counters
185.239.242.104,NL,Netherlands,10,ssh/user-enumeration:10
45.155.205.108,DE,Germany,4,http/CVE-2017-9841:2|http/ThinkPHP RCE:1|http/XDebug:1
71.215.220.111,US,United States,2,ssh/user-enumeration:2
162.104.169.58,US,United States,2,ssh/user-enumeration:2
174.19.18.99,US,United States,2,ssh/user-enumeration:2
63.229.217.73,US,United States,2,ssh/user-enumeration:2
103.99.1.31,VN,Vietnam,2,ssh/user-enumeration:2
75.162.184.42,US,United States,2,ssh/user-enumeration:2
71.213.94.31,US,United States,2,ssh/user-enumeration:2
75.170.28.51,US,United States,2,ssh/user-enumeration:2
71.219.75.54,US,United States,2,ssh/user-enumeration:2
97.118.180.151,US,United States,2,ssh/user-enumeration:2
71.221.132.179,US,United States,2,ssh/user-enumeration:2
184.158.40.194,US,United States,2,ssh/user-enumeration:2
174.19.16.152,US,United States,2,ssh/user-enumeration:2
207.119.181.248,US,United States,2,ssh/user-enumeration:2
67.4.69.229,US,United States,2,ssh/user-enumeration:2
138.97.92.156,BR,Brazil,2,ssh/user-enumeration:2
174.16.137.218,US,United States,2,ssh/user-enumeration:2
174.19.28.124,US,United States,2,ssh/user-enumeration:2
71.38.53.116,US,United States,2,ssh/user-enumeration:2
71.32.173.124,US,United States,2,ssh/user-enumeration:2
184.97.110.12,US,United States,2,ssh/user-enumeration:2
71.210.48.89,US,United States,2,ssh/user-enumeration:2
45.155.205.86,DE,Germany,2,ssh/user-enumeration:2
213.32.91.71,FR,France,2,http/php_files_scan:2
148.255.71.165,DO,Dominican Republic,2,ssh/user-enumeration:2
103.141.177.194,VN,Vietnam,1,ssh/user-enumeration:1
81.92.36.4,IT,Italy,1,ssh/user-enumeration:1
46.200.73.236,UA,Ukraine,1,ssh/user-enumeration:1
157.245.212.8,US,United States,1,ssh/user-enumeration:1
179.131.10.103,BR,Brazil,1,ssh/user-enumeration:1
123.127.244.100,CN,China,1,ssh/user-enumeration:1
104.236.111.220,US,United States,1,ssh/user-enumeration:1
51.89.23.175,DE,Germany,1,ssh/user-enumeration:1
173.9.242.226,US,United States,1,ssh/user-enumeration:1
194.58.104.99,RU,Russia,1,ssh/user-enumeration:1
134.209.7.179,US,United States,1,ssh/user-enumeration:1
36.91.119.221,ID,Indonesia,1,ssh/user-enumeration:1
186.242.83.100,BR,Brazil,1,ssh/user-enumeration:1
51.77.194.232,FR,France,1,ssh/user-enumeration:1
144.217.7.94,CA,Canada,1,ssh/user-enumeration:1
35.185.59.105,US,United States,1,ssh/user-enumeration:1
129.226.68.181,HK,Hong Kong,1,ssh/user-enumeration:1
45.155.205.87,DE,Germany,1,ssh/user-enumeration:1
200.216.31.20,BR,Brazil,1,ssh/user-enumeration:1
180.76.57.17,CN,China,1,ssh/user-enumeration:1
58.33.119.186,CN,China,1,ssh/user-enumeration:1
159.65.11.115,SG,Singapore,1,ssh/user-enumeration:1
98.220.181.15,US,United States,1,ssh/user-enumeration:1
72.187.191.152,US,United States,1,ssh/user-enumeration:1
45.90.109.42,DE,Germany,1,ssh/user-enumeration:1
34.65.77.127,CH,Switzerland,1,ssh/user-enumeration:1
103.129.220.187,ID,Indonesia,1,ssh/user-enumeration:1
197.5.145.116,TN,Tunisia,1,ssh/user-enumeration:1
85.247.0.210,PT,Portugal,1,ssh/user-enumeration:1
104.155.101.3,BE,Belgium,1,http/not_a_browser:1
93.77.135.27,UA,Ukraine,1,ssh/user-enumeration:1
20.40.218.186,US,United States,1,http/php_files_scan:1
200.216.31.148,BR,Brazil,1,ssh/user-enumeration:1
165.227.50.96,US,United States,1,ssh/user-enumeration:1
